item,direccion,tecnologia,tipo,marca,latitud,longitud,administrador
99,"Jr. Grito de Huaura 249 (Cam Fija 1)Dir Haya de la Torre, La Perla",Cámara IP,Fija,DAHUA,-12.06689,-77.10557,MUNICIPALIDAD DISTRITAL DE LA PERLA
100,"Av. Sta. Rosa 101, La Perla (Parqueo)(Cam Fija), La Perla",Cámara IP,Fija,DAHUA,-12.06574,-77.11982,MUNICIPALIDAD DISTRITAL DE LA PERLA
101,"Aux. Av, La Marina Cuadra 2, (Cam Fija) La Perla",Cámara IP,Fija,DAHUA,-12.06677,-77.11688,MUNICIPALIDAD DISTRITAL DE LA PERLA
102,"Av. Sta. Rosa 101 (Oficina)(Cam Fija), La Perla",Cámara IP,Fija,DAHUA,-12.06572,-77.11983,MUNICIPALIDAD DISTRITAL DE LA PERLA
103,"Av. Sta. Rosa 101,(Deposito Ovalo)(Cam Fija), La Perla",Cámara IP,Fija,DAHUA,-12.06569,-77.11983,MUNICIPALIDAD DISTRITAL DE LA PERLA
104,"Av. Sta. Rosa 101 (Posterior Parqueo)(Cam Fija), La Perla",Cámara IP,Fija,DAHUA,-12.06573,-77.11989,MUNICIPALIDAD DISTRITAL DE LA PERLA
105,"Pasaje Pericles, calle Socrates, La Perla",Cámara IP,Fija,DAHUA,-12.06638,-77.11675,MUNICIPALIDAD DISTRITAL DE LA PERLA
106,"Av. Costanera cuadra 26,(Fam Vizcarra), La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07814,-77.11206,MUNICIPALIDAD DISTRITAL DE LA PERLA
107,"Av. Costanera cuadra 26,(Mirador), La Perla",Cámara IP,Domo PTZ,DAHUA,-12.0776,-77.11394,MUNICIPALIDAD DISTRITAL DE LA PERLA
108,"Av. Costanera, Jr. Huamachuco, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07708,-77.11516,MUNICIPALIDAD DISTRITAL DE LA PERLA
109,"Av. Costanera cuadra 26,(Cam Fija 1) La Perla",Cámara IP,Fija,DAHUA,-12.07837,-77.11264,MUNICIPALIDAD DISTRITAL DE LA PERLA
110,"Av. Costanera cuadra 26,(Skate Park) La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07838,-77.11261,MUNICIPALIDAD DISTRITAL DE LA PERLA
111,"Av. Costanera cuadra 26,(Cam Fija 2), La Perla",Cámara IP,Fija,DAHUA,-12.07836,-77.11266,MUNICIPALIDAD DISTRITAL DE LA PERLA
112,"Av. Sta. Rosa 101, (Ingreso Central)La Perla",Cámara IP,Fija,DAHUA,-12.06569,-77.11983,MUNICIPALIDAD DISTRITAL DE LA PERLA
